at,CONTENT,RATING,LABELING
2025-12-14 2:37:10,"bapak saya gak bisa senyum, pernah struk, harus gitu verifikasi kudu senyum, gimana sih. terus harus gtu beda no HP, bapak udh sepuh, gak ngerti HP, no HP saya udh terdaftar dan gak bisa masukin no hp yg sama. ribet bener",1,NEGATIVE
2025-12-14 2:29:53,"Semoga bisa membantu pengobatan sy dgn adanya kartu mobile JKN ,yg seorang single mom",5,POSITIVE
2025-12-14 2:29:20,sangat mempmudah Untuk melakukan pemeriksaan kesehatan,5,POSITIVE
2025-12-14 2:20:56,sangat bagus,5,POSITIVE
2025-12-14 2:15:12,Bagus,5,POSITIVE
2025-12-14 1:49:34,registrasi susah banget. aplikasi macam apa ini. parah banget,1,NEGATIVE
2025-12-14 1:25:30,sering logout sendiri,3,NEGATIVE
2025-12-14 1:00:03,bagus dan membantu,5,POSITIVE
2025-12-14 0:33:10,sangat Bagus,5,POSITIVE
2025-12-14 0:32:39,sangat berguna,5,POSITIVE
2025-12-13 23:48:38,Bagu sangat membantu proses kepesertaan,5,POSITIVE
2025-12-13 23:46:06,oke,4,POSITIVE
2025-12-13 23:33:00,ok sip,5,POSITIVE
2025-12-13 23:15:37,membantu pasien,5,POSITIVE
2025-12-13 22:53:33,mudah dan sangat membantu,5,POSITIVE
2025-12-13 22:15:36,bagus,5,POSITIVE
2025-12-13 20:13:06,mantap,5,POSITIVE
2025-12-13 18:58:55,"sudah lumayan bagus, tapi masih bisa lebih dioptimalkan lagi. Jangan berhenti segini, terus kembangkan dan sempurnakan.",5,POSITIVE
2025-12-13 17:21:36,terimakasih mobile JKN sangat membantu ____,5,POSITIVE
2025-12-13 16:40:52,app mantab,5,POSITIVE
2025-12-13 16:08:52,"sudah bagus, dan tingkatkan lagi utk lebih bagus",5,POSITIVE
2025-12-13 15:52:47,lancar dan mudah,5,POSITIVE
2025-12-13 15:46:07,"aplikasinya mudah di gunakan, fiturnya baik juga, semoga di barengi dengan real pelayan nya di dunia nyata nya____",5,POSITIVE
2025-12-13 15:33:28,bagus,4,POSITIVE
2025-12-13 14:29:02,Bagus dan cepat,5,POSITIVE
2025-12-13 14:19:35,"aplikasi apaan bikin susah. orang mau berobat dipersulit, login begini verifikasi begitu. perbaiki lah!!",1,NEGATIVE
2025-12-13 14:13:42,memudahkan dalam pengaturan dan perubahan data tanpa antri,4,POSITIVE
2025-12-13 13:57:29,aplikasi yang bagus untuk memudahkan penyelesaian BPJS,4,POSITIVE
2025-12-13 13:50:15,karena error ga jelas apk nya sering muncul permintaan belum di proses yang ini lah yang itu,2,NEGATIVE
2025-12-13 13:47:14,"Tiba-tiba saja akun saya keluar dan pas coba log in lagi sudah tidak bisa, meski sudah diulang beberapa kali pun dengan data-data yg dimasukkan juga sudah benar tetap tidak bisa. Alasan NIK salah, password salah, captcha salah, begitu saja terus ""(",1,NEGATIVE
2025-12-13 13:44:49,lebih mempercepat,5,POSITIVE
2025-12-13 13:25:05,Kk mau tanya kok di data jkn kepesertaan sebelum nya ada 2 orang tp pas sy cek lg yg muncul hanya 1 kak kenapa ya kak kira_.,5,POSITIVE
2025-12-13 13:24:55,bagus,5,POSITIVE
2025-12-13 13:13:53,"aplikasi sangat membantu mempermudah,efisiensi waktu juga ga perlu ngantri dr jauh"" cukup daftar dpt langsung nomer pendaftaran",4,POSITIVE
2025-12-13 12:41:40,semoga semakin memudahkan teknologi nya,5,POSITIVE
2025-12-13 12:37:06,saya pun mengalami sama bahkan terkunci smua di buka susah daftr dn masuk pun dah di coba..PD ke kunci smua,3,NEGATIVE
2025-12-13 12:36:01,sangat membantu,5,POSITIVE
2025-12-13 12:34:58,pelayanan nya semakin hari semakin baik trima kasih buat buat layanan kesehatan terutama di desa kami,5,POSITIVE
2025-12-13 12:31:33,MANTAPPP,5,POSITIVE
2025-12-13 12:28:48,sangat membantu,5,POSITIVE
2025-12-13 12:04:09,sangat membantu sekali,5,POSITIVE
2025-12-13 12:03:35,"lupa Pasword, pas Mau recreate malah katanya Nomor telpon dan email salah. padahal Ndak pernah Ganti nomor____",1,NEGATIVE
2025-12-13 11:49:33,Saat mau perpanjang rujukan dari klinik di kota Bandung dipindahkan Faskes I ke puskesmas Cibeureum Tasikmalaya saya kira Cibeureum Cimahi setelah cek JKN mobile ternyata Cibeureum Tasikmalaya secara otomatis sehingga petugas klinik tdk bisa membantu.tolo,1,NEGATIVE
2025-12-13 11:47:52,pelayanan nya sangat memuaskan,5,POSITIVE
2025-12-13 11:46:03,sesusah ini mau berobat dinegeri sendiri padahal ini juga kita kita yg bayar bukan pemerintah kecuali pbi.. mau masuk ajah harus pake autodebit.. lu gila apa gimana? mau curi uang rakyat lagi scr diam diam? bahaya bgt ini fitur autodebit,1,NEGATIVE
2025-12-13 11:31:08,layanan terbaik,5,POSITIVE
2025-12-13 11:29:34,sangat membantu,5,POSITIVE
2025-12-13 11:24:41,ok,5,POSITIVE
2025-12-13 11:22:47,bagus,5,POSITIVE
2025-12-13 11:14:43,oke lah kalo begitu,5,POSITIVE
2025-12-13 10:46:09,untuk Developernya coba dong untuk pengisian skrining kesehatan di pisahkan aja jangan pas pengambilan antrian kita harus ngisi skrining dulu kelamaan min soalnya ga semua orang punya hp bagus jadi kadang pas mau isi skrining kesehatan ga muncul apa apa d,4,NEGATIVE
2025-12-13 10:39:39,mantap,5,POSITIVE
2025-12-13 10:35:39,sudah di update tidak bisa login,1,NEGATIVE
2025-12-13 10:35:12,cukup bagus pelayanannya cepat sigap,4,POSITIVE
2025-12-13 10:34:25,good,5,POSITIVE
2025-12-13 10:34:12,"gabisa login jinx, update apasih klo msih gabisa login",1,NEGATIVE
2025-12-13 10:33:00,sangat membantu,5,POSITIVE
2025-12-13 9:57:17,sangat sangat membantu...,5,POSITIVE
2025-12-13 9:51:39,Aplikasi yg Sangat bermanfaat utk kita lbih mudah Mengakses Pelayanan.,5,POSITIVE
2025-12-13 9:44:27,"apk sangat membantu, pelayanan faskes dan poli cepat",5,POSITIVE
2025-12-13 9:43:26,sangat membantu pendapataran dg mudah,5,POSITIVE
2025-12-13 9:43:00,"Aplikasi sampah....kalau ada bintang 0, saya kasih 0....apalagi CS nya",1,NEGATIVE
2025-12-13 9:35:56,mantap,5,POSITIVE
2025-12-13 9:31:11,"Sangat membantu dalam proses penangan kasus , maaf umur saya 68 thn tak mungkin saya sebagai karyawan perusahaan maka sebagai masukan ,aplikasi baru ada koreksi untuk hal tsb ______ karena pembayaran BPJS di tanggung putri saya",5,POSITIVE
2025-12-13 9:10:36,sangat membantu,5,POSITIVE
2025-12-13 8:59:30,"udah bgs bgt apa apa pake jkn jd ga perlu antri manual,TAPI setiap login ga bisa padahal nik dan pswd sudah benar tolong dong ini gimana ,salah mulu padahal udah benerrrrr ,kalo keluar apk dan mau buka apk lg perlu login mulu kesel bgt gue ,dan pas login",3,POSITIVE
2025-12-13 8:55:58,sangat baik sekali,5,POSITIVE
2025-12-13 8:51:12,aplikasi yg sangat memudahkan,5,POSITIVE
2025-12-13 8:40:56,sangat membantu____,4,POSITIVE
2025-12-13 8:35:47,ok,3,POSITIVE
2025-12-13 7:51:36,Mempersingkat waktu pendaftaran ! ____,5,POSITIVE
2025-12-13 7:47:48,"SALDO JHT PT LAMA SAYA KEMANA ??? KOK ILANG ? KNPA CUMA SALDO JHT PT BARU SAYA YG TERDAFTAR ? SAYA INGAT AWAL JMO SAYA PUNYA 2 SALDO JHT. SEKARANG KNP CUMA SATU ? DAN SAYA BELUM CLAIM SALDO JHT PT LAMA SAYA. DASAR BPJS KORUP !! SARAN GW UTK YG PINDAH PT,",1,NEGATIVE
2025-12-13 7:29:10,sangat membantu,5,POSITIVE
2025-12-13 6:17:49,memudahkan jikala no kartu hilang,5,POSITIVE
2025-12-13 6:15:16,sangat mudah di gunakan dan sangat membantu sekali,5,POSITIVE
2025-12-13 5:35:49,JURDIL aja thanks,5,POSITIVE
2025-12-13 5:29:22,ok cepat,5,POSITIVE
2025-12-13 5:24:50,mantap ____,5,POSITIVE
2025-12-13 5:11:37,Bagus dan membantu sekali,5,POSITIVE
2025-12-13 5:07:17,bagus dan sangat membantu thanks pemerintah Ri,5,POSITIVE
2025-12-13 5:04:01,mantap,4,POSITIVE
2025-12-13 5:03:57,Bagus,5,POSITIVE
2025-12-13 5:03:18,"mudah digunakan, tidak banyak iklan, respon admin baik",5,POSITIVE
2025-12-13 4:53:42,pelayanannya memuaskan,5,POSITIVE
2025-12-13 4:47:25,"login nya kenapa gabisa, gak kyak biasanya",3,POSITIVE
2025-12-13 4:34:45,mempermudah masyarakat,5,NEGATIVE
2025-12-13 4:05:31,"lama tak terpakai ke logout sendiri, sangat menyusahkan bagi orang yang pelupa. meminta kode Verifikasi pun lama sampai mengulang 10000x.sangat menjengkelkan.!!!!",1,NEGATIVE
2025-12-13 3:41:42,sangat membantu,4,POSITIVE
2025-12-13 3:38:25,sangat mudah digunakan dimanapun dan kapanpun,5,POSITIVE
2025-12-13 3:23:16,memudahkan,5,POSITIVE
2025-12-13 3:21:59,good aplikasi,5,POSITIVE
2025-12-13 3:18:21,Sangat Baik dalam Pelayanan kesehatan,5,POSITIVE
2025-12-13 3:13:49,proses cepat dan ringkas,5,POSITIVE
2025-12-13 3:11:19,ok,5,POSITIVE
2025-12-13 2:47:11,mau verifikasi wajah susah amat,1,NEGATIVE
2025-12-13 2:44:32,lgi ngk bisa login,5,NEGATIVE
2025-12-13 2:20:48,sangat terbantu sekali,5,POSITIVE
2025-12-13 2:12:10,proses nya cepat,5,POSITIVE
2025-12-13 2:08:40,mantapp,5,POSITIVE
2025-12-13 2:02:27,baikk,5,POSITIVE
2025-12-13 2:01:51,"sangat tidak berguna. verifikasi wajah sudah berkali-kali gagal teruss sampe sekarang belum bisa. mau nambah peserta pun tetap ga bisa, harus masukin nomor KK tapi tidak bisa di ketik. bukan nya mempermudah malah makin di persulit",1,NEGATIVE
2025-12-13 1:56:26,sulit cari no antrean untuk paskes lanjutan padahal sudah ada rujukan dan surat kontrol . tidak ada fitur scan atau foto surat kontrol atau rujukan,1,NEGATIVE
2025-12-13 1:51:41,"Sangat buruk, cs juga buruk.. Jaringan buruk",1,NEGATIVE
2025-12-13 1:41:08,nice job,5,POSITIVE
2025-12-13 1:07:41,saya kasih bintang 2 dulu.. sekarang masuk jkn tiba2 keluar sendiri dari aplikasi jkn nya.. dan pas mau login lg harus dafta auto debit kalo gak daftar gak bisa login.. tp sayangnya pas mau daftar auto debil lewat rekening BCA selalu gak bisa terus.. tolo,2,NEGATIVE
2025-12-13 0:23:28,memudahkan pendaftaran ke rumah sakit,5,POSITIVE
2025-12-13 0:21:40,bagus lebih cepat kalau cari antri,5,POSITIVE
2025-12-13 0:21:01,awalnya dianggap login berbeda. Semua sudah normal dengan menghapus semua data aplikasi,3,POSITIVE
2025-12-13 0:18:47,bermanfaat,5,POSITIVE
2025-12-12 23:48:14,memudahkan sekali. terus pertahankan.,5,POSITIVE
2025-12-12 23:37:37,"kenapa sering log out setiap bulan, kenapa gak dibikin sekali masuk udah masuk aja trus jangan di log out otomatis",4,NEGATIVE
2025-12-12 22:26:23,mudah digunakan,5,POSITIVE
2025-12-12 20:23:28,"sangat susah mau daftar antrian, loading terus, keterangannya offline, padahal sinyal bagus",1,NEGATIVE
2025-12-12 20:08:31,mantaps,5,POSITIVE
2025-12-12 20:01:28,Aplikasi yang sangat membantu dalam proses pendaftaran baik di faskes pertama maupun ke poli yang ada di rumah sakit untuk jadwal berobat jalan . Terima kasih __,5,POSITIVE
2025-12-12 17:48:52,Kasih kelad 1 dong,5,POSITIVE
2025-12-12 16:57:56,"ini mobile jkn kenapa ya, saya ga bisa login, kode verif sms juga sampai jenggot beruban nunggunya juga ga muncul"". mengecewakan.",1,NEGATIVE
2025-12-12 16:54:05,sangatt puas,5,POSITIVE
2025-12-12 16:48:57,mantap istebest,5,POSITIVE
2025-12-12 16:27:21,bagus dan memuaskan,5,POSITIVE
2025-12-12 15:59:54,mantab,4,POSITIVE
2025-12-12 15:52:37,bagus membantu,5,POSITIVE
2025-12-12 15:47:54,mantap,5,POSITIVE
2025-12-12 15:44:33,"makin ke sni makin gk jelas aplikasi dri bulan kmrin smpai skrang gk bsa masuk, Indonesia makin parah, seharus pegawai di pecat sangat persulit masyarakat,",1,NEGATIVE
2025-12-12 15:37:31,ok,4,POSITIVE
2025-12-12 15:31:47,bagus____,5,POSITIVE
2025-12-12 15:26:50,ini knp yaa kemaren klo abis dari RS langsung otomatis perpanjang rujukan lah ini udah klinik daftar antrian tingkat lanjut gabisa diklik coba min gmn ini solusinya.. diperbarui bukannya tambah enak ko malah gini sihhh .. bintang 3 dulu yaa min,3,NEGATIVE
2025-12-12 15:04:18,"saya mau kasih ulasan coba perbaiki bug update data nomor hp,saya memasukkan no hp yg udah pernah dipakai peserta notifnya,cuman saya mau input nomor yang lain masih ada bug gak bisa di input nomornya,tolong mobile jkn update lagi lah kalau bisaa kirim pe",5,POSITIVE
2025-12-12 15:04:03,"tolong lah kalau mau berobat dipermudahkan apalgi klo skit kambuh lgsg ditindaklanjuti mentang"" pkk BPJS diperlakukan seenaknya pasien, org kesakitan ke IGD rsu ktnya gk bsa hrs ke faskes 1 dlu, sblmnya org faskes 1 blg klo darurat pergi saja ke RS terdek",1,NEGATIVE
2025-12-12 14:43:45,sangat puas,5,POSITIVE
2025-12-12 14:03:15,terimakasih sudah sangant membantu,5,POSITIVE
2025-12-12 13:55:10,Sangat Mudah di Pahami.. kereeeen,5,POSITIVE
2025-12-12 13:51:09,good,5,POSITIVE
2025-12-12 13:47:17,ok,4,POSITIVE
2025-12-12 13:33:11,ok,5,POSITIVE
2025-12-12 13:32:32,tambah baik dan super cepat pelayanannya,5,POSITIVE
2025-12-12 13:31:59,sangat membantu,5,POSITIVE
2025-12-12 13:29:38,"Daftar antrian pakai jkn mobile di klinik TIDAK BERGUNA, urutan antrian tidak sesuai aplikasi!",1,NEGATIVE
2025-12-12 13:20:30,aplikasi di update malah logout... mana mau ganti password kode ngga dikirim via sms... minta kirim ulang juga tetap ngga dikirim,3,NEGATIVE
2025-12-12 13:12:40,"knp sering kluar sendiri?? hrus daftar"" trusss",3,NEGATIVE
2025-12-12 12:46:59,aplikasi apaaan daftar aja sulit sampe sekarang masih blm bisa daftar kalo berobat wajib jkn hadeehhh gini amat hidup di Indonesia,1,NEGATIVE
2025-12-12 12:44:41,"akhir-akhir ini apk JKN makin tidak berfungsi,khusus saat mengambil antrian online,tolong di perbaiki",1,NEGATIVE
2025-12-12 12:41:07,"mau masuk minta kode otp lewat sms udah lama banget nunggu sms ngga masuk_. ternyata karena hpnya ngga ada pulsa, cuma ada kuota data. setelah isi pulsa, sms otpnya bisa masuk.",4,NEGATIVE
2025-12-12 12:39:26,aplikasi paling tidak bermutu yg pernah saya temukan. untuk daftar saja rumit dan butuh waktu yg sangat lama,1,NEGATIVE
2025-12-12 12:38:37,"Aplikasi nya bagus, tapi kadang (bukan kadang lagi. selalu) surat rujukan/surat kontrol yang saya punya pada faskes hilang. jadi kalau saya sudah daftar antrian online, dan sudah dapat antrian nya, pas hari h nya hilang waktu mau kontrol. jadi bingung pas",1,NEGATIVE
2025-12-12 12:32:28,"ibah no HP option nya hanya sms saja dan gak mau2, kenapa gak pake wa saja",4,NEGATIVE
2025-12-12 12:26:31,gampang dan mudah untuk merubah data peserta lewat aplikasi. medah2an kedepannya lebih canggih lagi... mantapp.....,5,POSITIVE
2025-12-12 12:22:31,jangan sampe g bisa di update,5,POSITIVE
2025-12-12 12:18:53,sesuai harapan,5,POSITIVE
2025-12-12 12:12:15,untuk berobat pakai BPJS cepat prosesnya,5,POSITIVE
2025-12-12 12:10:08,aplikasinya oke.. semakin mudah digunakan,5,POSITIVE
2025-12-12 12:00:43,aplikasi in sangat membantu dlm berobat saat antrian banyak BS online,5,POSITIVE
2025-12-12 11:56:13,pelayanan bagus dan lancar,4,POSITIVE
2025-12-12 11:48:56,bagus banget,5,POSITIVE
2025-12-12 11:38:13,aplikasi macam apa ini Gak bisa masuk selalu salah padahal udah benar niat gak sih bikin aplikasi,1,NEGATIVE
2025-12-12 11:35:49,jangan keluar sendiri akunnya dong,4,NEGATIVE
2025-12-12 10:54:41,vertifikasi nya susah,1,NEGATIVE
2025-12-12 10:51:43,ga jelas bgt aplikasinya. kadang daftar bisa satu hari sebelumnya. kadang harus hari H pas buka baru bisa daftar aneh. jadi orang mau daftar dibikin ribet. harusnya kita udh tau biasanya hari H atau satu hari sebelumnya. ini kadang satu hari sebelumnya ud,1,NEGATIVE
2025-12-12 10:34:27,"Kenapa gak bisa daftar antrean, tulisannya pas buka antrean informasi tidak di temukan. padahal gak di klik apa-apa kenapa sih mau berobat aja di buat ribet banget. tolong di perbaiki segera donk",1,NEGATIVE
2025-12-12 10:33:57,sangat memuaskan,5,POSITIVE
2025-12-12 10:00:43,"alasan logout apasih?? capek mau log in tapi gak bisa, error nih aplikasi",1,NEGATIVE
2025-12-12 9:58:39,"aplikasi bego,, sandi baru ganti tdk bisa loging",1,NEGATIVE
2025-12-12 9:29:51,cepat mudah,5,POSITIVE
2025-12-12 9:27:10,pembayaran saya sudah tertulis bukti bahwa sudah lunas tapi kenapa akun saya tidak terdaftar LG,1,NEGATIVE
2025-12-12 9:25:53,Sip bagus,5,POSITIVE
2025-12-12 9:25:41,"suka kali lah keluar tiba"" kan capek bolak balek login",1,NEGATIVE
2025-12-12 8:58:44,baik,5,POSITIVE
2025-12-12 8:55:42,sangat membantu,5,POSITIVE
2025-12-12 8:47:53,sangat membantu,4,POSITIVE
2025-12-12 8:32:51,sangat membantu,5,POSITIVE
2025-12-12 8:29:21,ya sedang perbaikan,5,POSITIVE
2025-12-12 8:18:54,"Sangat membantu, praktis dan mudah. tapi paskes nya yg tak sesuai harapan, apapun keluhan cuma pil solusi nya, padahal saya menderita nahan rasa sakit",5,POSITIVE
2025-12-12 8:18:34,keren pelayanan di kantor bpjs tangsel bsd,4,POSITIVE
2025-12-12 8:16:36,ok,5,POSITIVE
2025-12-12 7:54:11,"mau berobat aja dipersusah, verifikasi wajah tidak bisa-bisa. 0/10",1,NEGATIVE
2025-12-12 7:14:52,pelayanan baik dan cepat,5,POSITIVE
2025-12-12 7:13:30,puas dengan layanan mobile jkn,5,POSITIVE
2025-12-12 7:12:42,terbaik,5,POSITIVE
2025-12-12 6:12:28,bagus,5,POSITIVE
2025-12-12 6:11:24,"buat ngirim OTP aja lama banget ga kekirim_ gliran uda dteng, ternyata uda ga bisa diinput krna OTP nya berlimit",1,NEGATIVE
2025-12-12 6:10:14,bgus,5,POSITIVE
2025-12-12 5:58:53,"pelayanan aduan call Center 165 aplikasi JKN sangat buruk: Sudah berkali2 melakukan pengaduan, selalu diputus dengan alasan sinyal buruk. Semua data sudah diverifikasi baik email, telepon. tapi tidak ad upaya BPJS kesehatan untuk menelpon ulang.",1,NEGATIVE
2025-12-12 5:15:52,Aplikasi menyusahkan Masyarakat. ufh download tp nyusahin. kode otp gada masuk buat susah pokoknya ga guna samsek,1,NEGATIVE
2025-12-12 4:47:35,yg belum bisa login bisa hapus cace dan hapus data.,5,NEGATIVE
2025-12-12 4:40:12,"mohon kedepannya bisa diperbaiki lagi ya terkait jadwal pelayanan, seperti adanya misinformasi pada aplikasi ini. saat itu saya mendapatkan jadwal pelayanan antara pukul 08.00 wib - 11.00 wib kemudian saya datang 30 menit sebelum pelayanan ditutup, namun",2,POSITIVE
2025-12-12 4:21:37,sangat membantu sekali untuk informasi kesehatan,5,POSITIVE
2025-12-12 4:15:42,baik,5,POSITIVE
2025-12-12 4:05:22,sangat baik.,5,POSITIVE
2025-12-12 3:53:42,bagus,2,POSITIVE
2025-12-12 3:47:30,aplikasi mantap,5,POSITIVE
2025-12-12 3:43:18,Terimakasih,5,POSITIVE
2025-12-12 3:39:24,good,5,POSITIVE
2025-12-12 3:35:55,cepat,5,POSITIVE
2025-12-12 3:33:57,"Mantap, semakin mempermudah",5,POSITIVE
2025-12-12 3:24:37,luar biasa...,5,POSITIVE
2025-12-12 3:24:32,sangat sulit log-in,1,NEGATIVE
2025-12-12 3:15:08,ok,5,POSITIVE
2025-12-12 3:14:18,"sampah ga berguna, katanya lupa pwt srh klik lupa pswt giliran suruh konfirmasi lwt SMS ga dikirim 2 trus kpn iso masuk e",1,NEGATIVE
2025-12-12 3:13:55,"aplikasi taekk.. tiap update atau sebulan sx harus login kembali masukan email pasword lh.. unfaedah.. makin maju teknologi bukan nya buat mudah, malah makin ribet..",1,NEGATIVE
2025-12-12 3:13:14,"kak izin tanya, ini mau login dan lupa katsan kode verifikasi tidak masuk-masuk ke nomor yang sudah di input dengan benar, mohon responya kak karena tidak tahu harus konsul kemna",3,NEGATIVE
2025-12-12 3:07:33,sangat menarik,5,POSITIVE
2025-12-12 3:03:57,Mudah dan Cepat,5,POSITIVE
2025-12-12 2:59:12,kasian istri saya dh datang di suruh online data dh jelas selalu salah gagal masuk. kalu mau membunuh orang jangan pake aplikasi kaya gini ribet.,1,NEGATIVE
2025-12-12 2:55:34,gimana cara daftar JKN ini yha,4,NEGATIVE
2025-12-12 2:47:23,mantap,5,POSITIVE
2025-12-12 2:44:36,aplikasi lancar dan sangat membantu.,5,POSITIVE
2025-12-12 2:42:49,"Pin itu di bikin sendiri apa dapat dari mobile jkn, saya pengguna baru, mohon bantuannya.",5,NEGATIVE
2025-12-12 2:37:46,saya bingung kenapa sering sekali harus login ulang,3,NEGATIVE
2025-12-12 2:36:29,"saya mohon untuk diperbaiki lagi,saya sering menggunakan aplikasi ini tapi sejak update terbaru LOG OUT sendiri LOG IN lagi tetap gak bisa makin dipersulit,buat laporan pun PERCUMA DAN JAWABANYA SELALU SAMA NUNGGU VIRAL DULU BARU DIBENERIN",1,NEGATIVE
2025-12-12 2:28:01,brobat di pernudah,5,POSITIVE
2025-12-12 2:11:18,bagus dan sangat membantu,5,POSITIVE
2025-12-12 2:06:34,bagus memudahkan untuk berobat,5,POSITIVE
2025-12-12 2:01:30,mantap,5,POSITIVE
2025-12-12 1:57:57,sangat membantu,5,POSITIVE
2025-12-12 1:57:53,kurang friendly . karen anak harus punya aplikasi . coba anda bayangkan anak di bawah 5 tahun apakah harus di berikan hp untuk mendaftar dan apakah anak di bawah 1 tahun juga. sehingga sulit untuk melihat history berobat. coba di benerin system agar mudah,3,NEGATIVE
2025-12-12 1:34:54,good,5,POSITIVE
2025-12-12 1:32:57,bagus,5,POSITIVE
2025-12-12 1:28:52,ok,5,POSITIVE
2025-12-12 1:06:14,"bagus,dan mudah",5,POSITIVE
2025-12-12 0:54:44,"bikin ribet,sering eror,susah log in...bikin ribet masyarakat",1,NEGATIVE
2025-12-12 0:27:40,Auto debet aktif sendiri padahal nggak pernah masukkan no rekening untuk fitur itu __,1,NEGATIVE
2025-12-12 0:14:07,"diakses tdk bisa, uninstall pun tdk bisa",1,NEGATIVE
2025-12-12 0:12:07,bagus aplikasinya mudah di gunakan,5,POSITIVE
2025-12-12 0:10:42,sangat membantu,5,POSITIVE
2025-12-12 0:09:52,pelayanan kurang optimal,1,NEGATIVE
2025-12-12 0:05:57,Puas Sekali,5,POSITIVE
2025-12-11 23:58:06,mau verifikasi aja susah mau login ulang susah via wa diputer puter via situs ujung ujungnya sistem sedang diperbaiki padahal cuma mau ngrubah data ..tp dipersulit juga,1,NEGATIVE
2025-12-11 23:49:47,"masih sama pernasalahannya, sms otp masuknya telat",5,NEGATIVE
2025-12-11 23:28:05,"apdet teruuuus jadi eror booosss,saya bayar boos bpjs",1,NEGATIVE
2025-12-11 23:14:43,semoga pelayanannya LBH d mudahkan LG,5,POSITIVE
2025-12-11 22:55:53,akhirnya bisa login,4,POSITIVE
2025-12-11 22:19:04,mudah cept membantu,5,POSITIVE
2025-12-11 22:05:26,"tidak bisa mendaftar kendala no hp tidak sesuai, padahal no hp sy benar",1,NEGATIVE
2025-12-11 21:51:18,mudah di atur,5,POSITIVE
2025-12-11 20:48:19,"kembalikan chika, saat butuh informasi saya butuh CS bukan robot .",1,NEGATIVE
2025-12-11 20:09:20,kereeeeeen,5,POSITIVE
2025-12-11 19:00:23,mempermudah masyarakat,5,POSITIVE
2025-12-11 17:58:44,Setelah update baru. Kode Captcha sudah muncul. Giliran pilih lupa password katanya data NIK belum terdaftar. Coba isi form daftar katanya status NIK pada data kependudukan tidak terdaftar hubungi dinas kependudukan. hadeh... Mau bayar koq susah...,1,NEGATIVE
