CONTENT,RATING,LABELING
aplikasi paling tidak bermutu yg pernah saya temukan. untuk daftar saja rumit dan butuh waktu yg sangat lama,1,NEGATIVE
"Aplikasi nya bagus, tapi kadang (bukan kadang lagi. selalu) surat rujukan/surat kontrol yang saya punya pada faskes hilang. jadi kalau saya sudah daftar antrian online, dan sudah dapat antrian nya, pas hari h nya hilang waktu mau kontrol. jadi bingung pas",1,NEGATIVE
"ibah no HP option nya hanya sms saja dan gak mau2, kenapa gak pake wa saja",4,NEGATIVE
gampang dan mudah untuk merubah data peserta lewat aplikasi. medah2an kedepannya lebih canggih lagi... mantapp.....,5,POSITIVE
jangan sampe g bisa di update,5,POSITIVE
sesuai harapan,5,POSITIVE
untuk berobat pakai BPJS cepat prosesnya,5,POSITIVE
aplikasinya oke.. semakin mudah digunakan,5,POSITIVE
aplikasi in sangat membantu dlm berobat saat antrian banyak BS online,5,POSITIVE
pelayanan bagus dan lancar,4,POSITIVE
bagus banget,5,POSITIVE
aplikasi macam apa ini Gak bisa masuk selalu salah padahal udah benar niat gak sih bikin aplikasi,1,NEGATIVE
jangan keluar sendiri akunnya dong,4,NEGATIVE
vertifikasi nya susah,1,NEGATIVE
ga jelas bgt aplikasinya. kadang daftar bisa satu hari sebelumnya. kadang harus hari H pas buka baru bisa daftar aneh. jadi orang mau daftar dibikin ribet. harusnya kita udh tau biasanya hari H atau satu hari sebelumnya. ini kadang satu hari sebelumnya ud,1,NEGATIVE
"Kenapa gak bisa daftar antrean, tulisannya pas buka antrean informasi tidak di temukan. padahal gak di klik apa-apa kenapa sih mau berobat aja di buat ribet banget. tolong di perbaiki segera donk",1,NEGATIVE
sangat memuaskan,5,POSITIVE
"alasan logout apasih?? capek mau log in tapi gak bisa, error nih aplikasi",1,NEGATIVE
"aplikasi bego,, sandi baru ganti tdk bisa loging",1,NEGATIVE
cepat mudah,5,POSITIVE
pembayaran saya sudah tertulis bukti bahwa sudah lunas tapi kenapa akun saya tidak terdaftar LG,1,NEGATIVE
Sip bagus,5,POSITIVE
"suka kali lah keluar tiba"" kan capek bolak balek login",1,NEGATIVE
baik,5,POSITIVE
sangat membantu,5,POSITIVE
sangat membantu,4,POSITIVE
sangat membantu,5,POSITIVE
ya sedang perbaikan,5,POSITIVE
"Sangat membantu, praktis dan mudah. tapi paskes nya yg tak sesuai harapan, apapun keluhan cuma pil solusi nya, padahal saya menderita nahan rasa sakit",5,POSITIVE
keren pelayanan di kantor bpjs tangsel bsd,4,POSITIVE
ok,5,POSITIVE
"mau berobat aja dipersusah, verifikasi wajah tidak bisa-bisa. 0/10",1,NEGATIVE
pelayanan baik dan cepat,5,POSITIVE
puas dengan layanan mobile jkn,5,POSITIVE
terbaik,5,POSITIVE
bagus,5,POSITIVE
"buat ngirim OTP aja lama banget ga kekirim_ gliran uda dteng, ternyata uda ga bisa diinput krna OTP nya berlimit",1,NEGATIVE
bgus,5,POSITIVE
"pelayanan aduan call Center 165 aplikasi JKN sangat buruk: Sudah berkali2 melakukan pengaduan, selalu diputus dengan alasan sinyal buruk. Semua data sudah diverifikasi baik email, telepon. tapi tidak ad upaya BPJS kesehatan untuk menelpon ulang.",1,NEGATIVE
Aplikasi menyusahkan Masyarakat. ufh download tp nyusahin. kode otp gada masuk buat susah pokoknya ga guna samsek,1,NEGATIVE
yg belum bisa login bisa hapus cace dan hapus data.,5,NEGATIVE
"mohon kedepannya bisa diperbaiki lagi ya terkait jadwal pelayanan, seperti adanya misinformasi pada aplikasi ini. saat itu saya mendapatkan jadwal pelayanan antara pukul 08.00 wib - 11.00 wib kemudian saya datang 30 menit sebelum pelayanan ditutup, namun",2,POSITIVE
sangat membantu sekali untuk informasi kesehatan,5,POSITIVE
baik,5,POSITIVE
sangat baik.,5,POSITIVE
bagus,2,POSITIVE
aplikasi mantap,5,POSITIVE
Terimakasih,5,POSITIVE
good,5,POSITIVE
cepat,5,POSITIVE
"Mantap, semakin mempermudah",5,POSITIVE
luar biasa...,5,POSITIVE
sangat sulit log-in,1,NEGATIVE
ok,5,POSITIVE
"sampah ga berguna, katanya lupa pwt srh klik lupa pswt giliran suruh konfirmasi lwt SMS ga dikirim 2 trus kpn iso masuk e",1,NEGATIVE
"aplikasi taekk.. tiap update atau sebulan sx harus login kembali masukan email pasword lh.. unfaedah.. makin maju teknologi bukan nya buat mudah, malah makin ribet..",1,NEGATIVE
"kak izin tanya, ini mau login dan lupa katsan kode verifikasi tidak masuk-masuk ke nomor yang sudah di input dengan benar, mohon responya kak karena tidak tahu harus konsul kemna",3,NEGATIVE
sangat menarik,5,POSITIVE
Mudah dan Cepat,5,POSITIVE
kasian istri saya dh datang di suruh online data dh jelas selalu salah gagal masuk. kalu mau membunuh orang jangan pake aplikasi kaya gini ribet.,1,NEGATIVE
gimana cara daftar JKN ini yha,4,NEGATIVE
mantap,5,POSITIVE
aplikasi lancar dan sangat membantu.,5,POSITIVE
"Pin itu di bikin sendiri apa dapat dari mobile jkn, saya pengguna baru, mohon bantuannya.",5,NEGATIVE
saya bingung kenapa sering sekali harus login ulang,3,NEGATIVE
"saya mohon untuk diperbaiki lagi,saya sering menggunakan aplikasi ini tapi sejak update terbaru LOG OUT sendiri LOG IN lagi tetap gak bisa makin dipersulit,buat laporan pun PERCUMA DAN JAWABANYA SELALU SAMA NUNGGU VIRAL DULU BARU DIBENERIN",1,NEGATIVE
brobat di pernudah,5,POSITIVE
bagus dan sangat membantu,5,POSITIVE
bagus memudahkan untuk berobat,5,POSITIVE
mantap,5,POSITIVE
sangat membantu,5,POSITIVE
kurang friendly . karen anak harus punya aplikasi . coba anda bayangkan anak di bawah 5 tahun apakah harus di berikan hp untuk mendaftar dan apakah anak di bawah 1 tahun juga. sehingga sulit untuk melihat history berobat. coba di benerin system agar mudah,3,NEGATIVE
good,5,POSITIVE
bagus,5,POSITIVE
ok,5,POSITIVE
"bagus,dan mudah",5,POSITIVE
"bikin ribet,sering eror,susah log in...bikin ribet masyarakat",1,NEGATIVE
Auto debet aktif sendiri padahal nggak pernah masukkan no rekening untuk fitur itu __,1,NEGATIVE
"diakses tdk bisa, uninstall pun tdk bisa",1,NEGATIVE
bagus aplikasinya mudah di gunakan,5,POSITIVE
sangat membantu,5,POSITIVE
pelayanan kurang optimal,1,NEGATIVE
Puas Sekali,5,POSITIVE
mau verifikasi aja susah mau login ulang susah via wa diputer puter via situs ujung ujungnya sistem sedang diperbaiki padahal cuma mau ngrubah data ..tp dipersulit juga,1,NEGATIVE
"masih sama pernasalahannya, sms otp masuknya telat",5,NEGATIVE
"apdet teruuuus jadi eror booosss,saya bayar boos bpjs",1,NEGATIVE
semoga pelayanannya LBH d mudahkan LG,5,POSITIVE
akhirnya bisa login,4,POSITIVE
mudah cept membantu,5,POSITIVE
"tidak bisa mendaftar kendala no hp tidak sesuai, padahal no hp sy benar",1,NEGATIVE
mudah di atur,5,POSITIVE
"kembalikan chika, saat butuh informasi saya butuh CS bukan robot .",1,NEGATIVE
kereeeeeen,5,POSITIVE
mempermudah masyarakat,5,POSITIVE
Setelah update baru. Kode Captcha sudah muncul. Giliran pilih lupa password katanya data NIK belum terdaftar. Coba isi form daftar katanya status NIK pada data kependudukan tidak terdaftar hubungi dinas kependudukan. hadeh... Mau bayar koq susah...,1,NEGATIVE
sangat bermanfaat bagi kita masyarakat untuk berobat ... terimakasih JKN,5,POSITIVE
baik tapi perlu di tingkatkan,4,POSITIVE
bjs gratis cmak kali pakai,5,POSITIVE
Muantap __,5,POSITIVE
"apalah jelek bngt apknya, mau masuk aja try again_ sampe mabok, pdhl ngisi format sesuai",1,NEGATIVE
sangat membantu,5,POSITIVE
sangat membantu,5,POSITIVE
bagus cepat dan mudah,5,POSITIVE
cukup membantu mudah di akses,4,POSITIVE
"gk penting banget nih aplikasi, cuman buat buang duit pemerintahan. gk lucu bpjs dkk, mau masuk ugd suruh download aplikasi ini dulu.",3,NEGATIVE
mantap,5,POSITIVE
dgn JKN semua dipermudah,5,POSITIVE
cuma biasa mohon maaf.. mohon maaf tapi tidak memperbaiki sistem nya,1,NEGATIVE
quick respon,5,POSITIVE
bagus sangat bermanfaat bagi pengguna pelosok,5,POSITIVE
Memudahkan untuk administrasi berobat,5,POSITIVE
memudahkan ganti faskes mantap,5,POSITIVE
Ga bisa digunakan lagi,1,NEGATIVE
Sangat membantu,5,POSITIVE
kenapa gak bisa dipake ambil antrean ya? kok cuma tersedia di wilayah Bali aja sih,1,NEGATIVE
praktis,5,POSITIVE
baik,5,POSITIVE
"setiap pembaharuan suka keluar akun terus, dan susah untuk menanyakan lupa sandi",5,NEGATIVE
"Untuk memverifikasi tidak bisa,,,",1,NEGATIVE
bagus,5,POSITIVE
berfungsi dan bermanfaat,5,POSITIVE
sangat membantu sekali dan mempermudah akses pendaftaran,5,POSITIVE
Mantap,5,POSITIVE
"aplikasi selalu logout sendiri,untuk masuk kembali juga sangat sulit padahal sebelumnya sudah pernah dipakai hampir 7bln tidak bisa dibuka aplikasinya",1,NEGATIVE
bagus,5,POSITIVE
semisalnya kita udah ambil antrian online apakah bisa ada tambahan biar kita bisa cek lagi soalnya habis itu ga bisa lihat lagi nomor antrian nya kalo ga di screenshot,5,NEGATIVE
sangat baik unt pengguna bpjs,5,POSITIVE
semakin mudah dg aplikasi JKN,5,POSITIVE
"saat dafta online ketika pilih nama pemilik kartu blank, IT nya kurang canggih",1,NEGATIVE
mantap,5,POSITIVE
sangat memebantu,5,POSITIVE
Alhamdulillah mudah digunakan,5,POSITIVE
aneh udah tau yang sakit nya repot mlh daftar nya suruh senyum aplikasi nya ada ada aja verivikasi nya padahal wajah doank juga bisa kan ribet banget,1,NEGATIVE
"antrian lewat bpjs ternya tidak berguna, sampai tem juga harus antri manual.",1,NEGATIVE
semoga lebih canggih lagi,5,POSITIVE
top,5,POSITIVE
sangat membantu,5,POSITIVE
aplikasi nya sangat mudah di pahami,5,POSITIVE
sangat membantu dan memudahkan,5,POSITIVE
aplikasi tolol bengak,1,NEGATIVE
bagus,5,POSITIVE
app jelek loading melulu captcha tidak muncul,1,NEGATIVE
sangat membantu,5,POSITIVE
sangat membantu,5,POSITIVE
pelayanan sangat baik_________,5,POSITIVE
"minta update mulu, padahal yg musti di update sistem didalamnya",1,NEGATIVE
semenjak di perbarui ga bisa login payah __,1,NEGATIVE
"ga jelas banget, log out sendiri. Giliran masuk semua salah, masuk via lupa paswword error. niat simpel, tp tetep nyusahin aplikasi.",1,NEGATIVE
Sangat membantu dalam proses menjaga kesehatan,5,POSITIVE
sangat berguna sekali,5,POSITIVE
Sangat membantu.,5,POSITIVE
Sangat membantu sekali,5,POSITIVE
"sering logout sendiri rep. Iya tinggal login, tapi tiap butuh logout lagi, jadi kudu login lagi. kan repot.",1,NEGATIVE
nomor NIk sudah terdaftar minta ganti sandi pakai email pakai nomor hp gk bisa,2,NEGATIVE
mantap tambah cepat pelayanannya,4,POSITIVE
bagus,5,POSITIVE
mau verifikasi wajah aja dibikin susah banget,1,NEGATIVE
Pelayanan yang sangat bagus,5,POSITIVE
"aplikasi setelah di update malah blank layarnya jadi abu saat mau daftar berobat, sepertinya ada bug",2,NEGATIVE
sangat membantu,5,POSITIVE
good,5,POSITIVE
sangat bermanfaat dan membantu.maju dsn berjuang terus untuk rakyat indonesia.,5,POSITIVE
bagus,5,POSITIVE
lebih mudah,5,POSITIVE
loding lambat,4,NEGATIVE
"bagusss, memudahkan",5,POSITIVE
memuaskan pelanggannya,5,POSITIVE
"gak jelas mau antri online poli gigi h-1 , udh di tunggu2 giliran mau pas booking jam 1 via aplikasi malah error . buang2 waktu aplikasi kesehatan paling buruk",1,NEGATIVE
sangat baik,5,POSITIVE
jos,5,POSITIVE
good,5,POSITIVE
sangat baik,5,POSITIVE
ok,5,POSITIVE
sangat membantu sekali dalam pelayanan kesehatan,5,POSITIVE
ok sicoba,5,POSITIVE
"sudah canggih,mantap",5,POSITIVE
peraturan apa lagi udah bansos w di setop bpjs tidak tangung..w udah susah jangan bikin tambah susah...,5,NEGATIVE
sangat bermanpaat sekali trimakasih jkn,5,POSITIVE
sangat membantu,5,POSITIVE
"ngirim otp lama banget. sini mau ambil antrian aja kudu ngisi nomer telpon segala, setelah diisi perlu verifikasi otp. ehh lelet banget gak ngirim ngirim otpnya",1,NEGATIVE
"aplikasi mudah digunakan namun harus terus di-update yah, tambah pelayanan nya mantaaplp",5,POSITIVE
sangat mudah,4,POSITIVE
udah daftar tapi nggak bisa masuk gimana nih? apa mau disalah gunakan nomer NIK nya?,3,NEGATIVE
sangat membantu,5,POSITIVE
Sangat membantu. Terima kasih,5,POSITIVE
membantu,5,POSITIVE
"kenapa setiap aplikasi pemerintah rued ribet, rebet, dari kata sandi salah aja cuma di kasih 3x kesempatan udahnya nunggu lagi sampe ber menit menit Lolo",1,NEGATIVE
aplikasi sangat membantu,5,POSITIVE
sangat membantu,5,POSITIVE
Memudahkan pasien untuk tdk terlalu lama antri.,5,POSITIVE
puas,5,POSITIVE
"Buset gua mau login gabiss katanya NIK tidak terdaftar giliran mau cek daftar malah no HP telah di gunakan pas LUPA sandi malah NIK tidak terdaftar juga, GIMANA INI KONSEPNYA,HARUS GIMANA??",1,NEGATIVE
sangat praktis,5,POSITIVE
ok,5,POSITIVE
sangat cepat dan bagus,5,POSITIVE
"knpa ada bug ?? apa masih perbaikan ? bagian nomor hp di perubahan data peserta,",2,NEGATIVE
aplikasi bagus,5,POSITIVE
sangat mudah di gunakan,5,POSITIVE
mantap,5,POSITIVE
ribet tidak bisa kirim kode OTP,2,NEGATIVE
mantap,5,POSITIVE
cukup memudahkan,5,POSITIVE
sangat membantu,4,POSITIVE
"sangat mudah di gunakan, dan sangat memudahkan",5,POSITIVE
Setelah di gratiskan kok faskes nya jadi pindah ya mau pindah lagi harus nunggu 3 bulan padahal mau dipakai di faskes terdekat,1,NEGATIVE
untuk perubahan nomor telepon yang tercantum sangat susah.. ber ulang ulang kali tdk ada kiriman otp,4,NEGATIVE
"verifikasi no.Hp gk masuk_ di SMS, di pilihan WA juga engga ada... Tolong perbaiki lah, Mau ambil nomor antrean aja susah bgt perkara ngisi No.Hp ndak bisa_... Broken bet Aplikasinya",1,NEGATIVE
tolong di perbaiki lagi apk jkn mobile punya saya eror dan tidak bisa daftar online di faskes tingkat lanjut,5,POSITIVE
keren,5,POSITIVE
